"campaignid","sample","filename","periodtime","family","genus","species","maxn","latitude","longitude","date","time","location","status","site","depth","successful.count","successful.length"
"2021-08_PtCloates_BOSS","PCFB25","20210909_BOTTOM_3_0001_0001.mp4","0.02197","Lethrinidae","Lethrinus","nebulosus",1,"-22.6907","113.5595",NA,NA,"Pt Cloates",NA,NA,"80","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB25","20210909_BOTTOM_3_0001_0001.mp4","0.11400","Lutjanidae","Pristipomoides","sp1",1,"-22.6907","113.5595",NA,NA,"Pt Cloates",NA,NA,"80","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB25","20210909_BOTTOM_3_0001_0001.mp4","0.02197","Lutjanidae",NA,NA,1,"-22.6907","113.5595",NA,NA,"Pt Cloates",NA,NA,"80","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB26","20210908_BOTTOM_6_0003_0001.mp4","0.41152","Lethrinidae","Gymnocranius","sp1",7,"-22.7315","113.5533",NA,NA,"Pt Cloates",NA,NA,"78","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB26","20210908_BOTTOM_6_0003_0001.mp4","0.18574","Lutjanidae","Pristipomoides","sp1",1,"-22.7315","113.5533",NA,NA,"Pt Cloates",NA,NA,"78","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB27","20210908_BOTTOM_5_0005_0001.mp4","0.00000","Acanthuridae","Acanthurus","spp",1,"-22.7409","113.5496",NA,NA,"Pt Cloates",NA,NA,"80","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB27","20210908_BOTTOM_5_0005_0001.mp4","0.25498","Acanthuridae","Naso","fageni",24,"-22.7409","113.5496",NA,NA,"Pt Cloates",NA,NA,"80","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB27","20210908_BOTTOM_5_0005_0001.mp4","0.00000","Chaetodontidae","Heniochus","diphreutes",3,"-22.7409","113.5496",NA,NA,"Pt Cloates",NA,NA,"80","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB27","20210908_BOTTOM_5_0005_0001.mp4","0.24497","Glaucosomatidae","Glaucosoma","buergeri",2,"-22.7409","113.5496",NA,NA,"Pt Cloates",NA,NA,"80","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB27","20210908_BOTTOM_5_0005_0001.mp4","0.25498","Labridae","Bodianus","solatus",1,"-22.7409","113.5496",NA,NA,"Pt Cloates",NA,NA,"80","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB27","20210908_BOTTOM_5_0005_0001.mp4","0.05950","Pomacanthidae","Pomacanthus","imperator",1,"-22.7409","113.5496",NA,NA,"Pt Cloates",NA,NA,"80","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB27","20210908_BOTTOM_5_0005_0001.mp4","0.17657","Serranidae","Variola","louti",1,"-22.7409","113.5496",NA,NA,"Pt Cloates",NA,NA,"80","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB28","20210826_BOTTOM_2_0003_0001.mp4","2.53614","Carangidae","Carangoides","fulvoguttatus",2,"-22.7017","113.5585",NA,NA,"Pt Cloates",NA,NA,"80","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB28","20210826_BOTTOM_2_0003_0001.mp4","1.90802","Carcharhinidae","Carcharhinus","albimarginatus",1,"-22.7017","113.5585",NA,NA,"Pt Cloates",NA,NA,"80","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB28","20210826_BOTTOM_2_0003_0001.mp4","0.10177","Pomacanthidae","Chaetodontoplus","personifer",1,"-22.7017","113.5585",NA,NA,"Pt Cloates",NA,NA,"80","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB28","20210826_BOTTOM_2_0003_0001.mp4","2.97881","Serranidae","Variola","louti",1,"-22.7017","113.5585",NA,NA,"Pt Cloates",NA,NA,"80","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB29","20210908_BOTTOM_4_0006_0001.mp4","0.54916","Lethrinidae","Gymnocranius","sp1",1,"-22.7549","113.5424",NA,NA,"Pt Cloates",NA,NA,"82","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB3","20210826_BOTTOM_4_0003_0001.mp4","0.45740","Haemulidae","Diagramma","pictum",1,"-22.7291","113.5491",NA,NA,"Pt Cloates",NA,NA,"81.9","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB3","20210826_BOTTOM_4_0003_0001.mp4","0.58002","Labridae","Bodianus","solatus",5,"-22.7291","113.5491",NA,NA,"Pt Cloates",NA,NA,"81.9","Yes","Yes"
