sample,PCO1,PCO2,method
2021-08_Pt-Cloates_stereo-BRUVs.PCBRUV5,-0.143674843,0.084746957,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBRUV7,-0.443234023,-0.027219067,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCBRUV8,-0.427738046,-0.088977524,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCPREF12,-0.505789087,-0.035440966,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCPREF2,-0.489722355,-0.07881498,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCPREF4,-0.502774841,-0.137799905,BRUV
2021-08_Pt-Cloates_stereo-BRUVs.PCPREF5,-0.403595388,-0.188439025,BRUV
2022-05_PtCloates_stereo-BRUVS.20,-0.402858041,0.053626803,BRUV
2022-05_PtCloates_stereo-BRUVS.24,-0.420133786,0.068062887,BRUV
2022-05_PtCloates_stereo-BRUVS.28,-0.552674684,-0.155246933,BRUV
2022-05_PtCloates_stereo-BRUVS.29,-0.347172803,-0.086530915,BRUV
2022-05_PtCloates_stereo-BRUVS.30,-0.380892925,0.00463086,BRUV
2022-05_PtCloates_stereo-BRUVS.31,-0.365204536,0.025056872,BRUV
2022-05_PtCloates_stereo-BRUVS.32,-0.376659054,0.055665921,BRUV
2022-05_PtCloates_stereo-BRUVS.33,-0.33674055,0.126111983,BRUV
2022-05_PtCloates_stereo-BRUVS.34,-0.431614093,-0.029226677,BRUV
2022-05_PtCloates_stereo-BRUVS.35,-0.471976299,0.002200804,BRUV
2022-05_PtCloates_stereo-BRUVS.36,-0.348057948,0.054775692,BRUV
2022-05_PtCloates_stereo-BRUVS.37,-0.440107981,-0.085647765,BRUV
2022-05_PtCloates_stereo-BRUVS.38,-0.104148574,0.036786166,BRUV
2022-05_PtCloates_stereo-BRUVS.39,-0.38501569,-0.000908725,BRUV
2022-05_PtCloates_stereo-BRUVS.40,-0.466434087,-0.086256874,BRUV
2022-05_PtCloates_stereo-BRUVS.41,-0.422544263,0.068805296,BRUV
2022-05_PtCloates_stereo-BRUVS.42,-0.510007137,0.167043284,BRUV
2022-05_PtCloates_stereo-BRUVS.43,-0.531175142,-0.087126639,BRUV
2022-05_PtCloates_stereo-BRUVS.44,-0.458500281,-0.033148496,BRUV
2022-05_PtCloates_stereo-BRUVS.45,-0.547793733,-0.264068795,BRUV
2022-05_PtCloates_stereo-BRUVS.46,-0.372633951,0.06366389,BRUV
2022-05_PtCloates_stereo-BRUVS.47,-0.415401224,-0.103372737,BRUV
2022-05_PtCloates_stereo-BRUVS.48,-0.38610236,0.028293313,BRUV
2022-05_PtCloates_stereo-BRUVS.50,-0.382098237,-0.09650645,BRUV
2022-05_PtCloates_stereo-BRUVS.51,-0.411079113,-0.094685994,BRUV
2022-05_PtCloates_stereo-BRUVS.52,-0.432173829,-0.10855795,BRUV
2022-05_PtCloates_stereo-BRUVS.53,-0.292673289,-0.166146911,BRUV
2022-05_PtCloates_stereo-BRUVS.54,-0.307656291,-0.007584302,BRUV
2022-05_PtCloates_stereo-BRUVS.55,-0.535255834,0.087783613,BRUV
2022-05_PtCloates_stereo-BRUVS.56,-0.644895279,-0.009618462,BRUV
2022-05_PtCloates_stereo-BRUVS.57,-0.288096761,0.241731941,BRUV
2022-05_PtCloates_stereo-BRUVS.58,-0.550516082,0.05307606,BRUV
2022-05_PtCloates_stereo-BRUVS.59,-0.468820531,-0.077470002,BRUV
2022-05_PtCloates_stereo-BRUVS.60,-0.545289861,-0.115943518,BRUV
2022-05_PtCloates_stereo-BRUVS.61,-0.204073723,-0.207531991,BRUV
2022-05_PtCloates_stereo-BRUVS.62,-0.359832505,-0.137214093,BRUV
2022-05_PtCloates_stereo-BRUVS.63,-0.22736524,-0.011710312,BRUV
2022-05_PtCloates_stereo-BRUVS.64,-0.43256629,-0.247337627,BRUV
