sample,PCO1,PCO2,method
2022-05_PtCloates_stereo-BRUVS.40,-0.31702796,0.243705141,BRUV
2022-05_PtCloates_stereo-BRUVS.41,-0.31195782,0.210592109,BRUV
2022-05_PtCloates_stereo-BRUVS.42,-0.419654537,0.321766264,BRUV
2022-05_PtCloates_stereo-BRUVS.43,-0.356999653,0.307825267,BRUV
2022-05_PtCloates_stereo-BRUVS.44,-0.313494259,0.28072097,BRUV
2022-05_PtCloates_stereo-BRUVS.45,-0.347038675,0.368985665,BRUV
2022-05_PtCloates_stereo-BRUVS.46,-0.25476773,0.156110096,BRUV
2022-05_PtCloates_stereo-BRUVS.47,-0.259033461,0.225812936,BRUV
2022-05_PtCloates_stereo-BRUVS.48,-0.269493545,0.153646879,BRUV
2022-05_PtCloates_stereo-BRUVS.50,-0.247372349,0.165599554,BRUV
2022-05_PtCloates_stereo-BRUVS.51,-0.263089341,0.197056002,BRUV
2022-05_PtCloates_stereo-BRUVS.52,-0.281044247,0.22445554,BRUV
2022-05_PtCloates_stereo-BRUVS.53,-0.202667324,0.09227488,BRUV
2022-05_PtCloates_stereo-BRUVS.54,-0.206819199,0.078636953,BRUV
2022-05_PtCloates_stereo-BRUVS.55,-0.370142132,0.349828517,BRUV
2022-05_PtCloates_stereo-BRUVS.56,-0.453094727,0.447088466,BRUV
2022-05_PtCloates_stereo-BRUVS.57,-0.269028637,0.053825578,BRUV
2022-05_PtCloates_stereo-BRUVS.58,-0.382784975,0.359290784,BRUV
2022-05_PtCloates_stereo-BRUVS.59,-0.299094811,0.252016248,BRUV
2022-05_PtCloates_stereo-BRUVS.60,-0.36116392,0.343976295,BRUV
2022-05_PtCloates_stereo-BRUVS.61,-0.166254139,0.021036195,BRUV
2022-05_PtCloates_stereo-BRUVS.62,-0.246304932,0.225412377,BRUV
2022-05_PtCloates_stereo-BRUVS.63,-0.204180282,-0.034295264,BRUV
2022-05_PtCloates_stereo-BRUVS.64,-0.275909375,0.245710097,BRUV
