"id","campaignid","sample","family","genus","species","length","number","range","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2021-05_PtCloates_BOSS.19","2021-05_PtCloates_BOSS","19","Lutjanidae","Pristipomoides","spp",NA,0,NA,-22.7314,113.5313,2021-05-20,08:09:34,"Point Cloates","No-take","inNP.19",106,"Molly Gerrans","Yes","Yes"
"2021-05_PtCloates_BOSS.19","2021-05_PtCloates_BOSS","19","Pinguipedidae","Parapercis","nebulosa",NA,1,3402.12308,-22.7314,113.5313,2021-05-20,08:09:34,"Point Cloates","No-take","inNP.19",106,"Molly Gerrans","Yes","Yes"
"2021-05_PtCloates_BOSS.19","2021-05_PtCloates_BOSS","19","Priacanthidae","Priacanthus","spp",NA,1,2126.13842,-22.7314,113.5313,2021-05-20,08:09:34,"Point Cloates","No-take","inNP.19",106,"Molly Gerrans","Yes","Yes"
"2021-05_PtCloates_BOSS.19","2021-05_PtCloates_BOSS","19","Sparidae","Dentex","spp",NA,0,NA,-22.7314,113.5313,2021-05-20,08:09:34,"Point Cloates","No-take","inNP.19",106,"Molly Gerrans","Yes","Yes"
"2021-05_PtCloates_BOSS.19","2021-05_PtCloates_BOSS","19","SUS","SUS","sus",NA,0,NA,-22.7314,113.5313,2021-05-20,08:09:34,"Point Cloates","No-take","inNP.19",106,"Molly Gerrans","Yes","Yes"
"2021-05_PtCloates_BOSS.19","2021-05_PtCloates_BOSS","19","Triakidae","Unknown","spp",NA,0,NA,-22.7314,113.5313,2021-05-20,08:09:34,"Point Cloates","No-take","inNP.19",106,"Molly Gerrans","Yes","Yes"
"2021-05_PtCloates_BOSS.19","2021-05_PtCloates_BOSS","19",NA,NA,NA,NA,0,NA,-22.7314,113.5313,2021-05-20,08:09:34,"Point Cloates","No-take","inNP.19",106,"Molly Gerrans","Yes","Yes"
"2021-05_PtCloates_BOSS.2","2021-05_PtCloates_BOSS","2","Carangidae","Carangoides","sp10",NA,0,NA,-22.6987,113.5214,2021-05-20,11:47:07,"Point Cloates","No-take","inNP.2",167,"Molly Gerrans","Yes","NA"
"2021-05_PtCloates_BOSS.2","2021-05_PtCloates_BOSS","2","Carangidae","Pseudocaranx","spp",NA,0,NA,-22.6987,113.5214,2021-05-20,11:47:07,"Point Cloates","No-take","inNP.2",167,"Molly Gerrans","Yes","NA"
"2021-05_PtCloates_BOSS.2","2021-05_PtCloates_BOSS","2","Carcharhinidae","Carcharhinus","plumbeus",NA,0,NA,-22.6987,113.5214,2021-05-20,11:47:07,"Point Cloates","No-take","inNP.2",167,"Molly Gerrans","Yes","NA"
"2021-05_PtCloates_BOSS.2","2021-05_PtCloates_BOSS","2","Carcharhinidae","Carcharhinus","spp",NA,0,NA,-22.6987,113.5214,2021-05-20,11:47:07,"Point Cloates","No-take","inNP.2",167,"Molly Gerrans","Yes","NA"
"2021-05_PtCloates_BOSS.2","2021-05_PtCloates_BOSS","2","Holocentridae","Sargocentron","spp",NA,0,NA,-22.6987,113.5214,2021-05-20,11:47:07,"Point Cloates","No-take","inNP.2",167,"Molly Gerrans","Yes","NA"
"2021-05_PtCloates_BOSS.2","2021-05_PtCloates_BOSS","2","Lethrinidae","Lethrinus","miniatus",NA,0,NA,-22.6987,113.5214,2021-05-20,11:47:07,"Point Cloates","No-take","inNP.2",167,"Molly Gerrans","Yes","NA"
"2021-05_PtCloates_BOSS.2","2021-05_PtCloates_BOSS","2","Lutjanidae","Pristipomoides","spp",NA,0,NA,-22.6987,113.5214,2021-05-20,11:47:07,"Point Cloates","No-take","inNP.2",167,"Molly Gerrans","Yes","NA"
"2021-05_PtCloates_BOSS.2","2021-05_PtCloates_BOSS","2","Pinguipedidae","Parapercis","nebulosa",NA,0,NA,-22.6987,113.5214,2021-05-20,11:47:07,"Point Cloates","No-take","inNP.2",167,"Molly Gerrans","Yes","NA"
"2021-05_PtCloates_BOSS.2","2021-05_PtCloates_BOSS","2","Priacanthidae","Priacanthus","spp",NA,0,NA,-22.6987,113.5214,2021-05-20,11:47:07,"Point Cloates","No-take","inNP.2",167,"Molly Gerrans","Yes","NA"
"2021-05_PtCloates_BOSS.2","2021-05_PtCloates_BOSS","2","Sparidae","Dentex","spp",NA,0,NA,-22.6987,113.5214,2021-05-20,11:47:07,"Point Cloates","No-take","inNP.2",167,"Molly Gerrans","Yes","NA"
"2021-05_PtCloates_BOSS.2","2021-05_PtCloates_BOSS","2","SUS","SUS","sus",NA,0,NA,-22.6987,113.5214,2021-05-20,11:47:07,"Point Cloates","No-take","inNP.2",167,"Molly Gerrans","Yes","NA"
